model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date
QQQ_lgbm,test,19.1295,404.4119,20.11,0.035,-23.6164,-1.3419,2025-07-02T05:51:26.895741+00:00
QQQ_arima,train,5.0767,59.4737,7.7119,0.0105,0.9212,0.9212,2025-07-02T05:51:26.895741+00:00
QQQ_arima,test,17.4632,335.4685,18.3158,0.0319,-19.4199,-0.8569,2025-07-02T05:51:26.895741+00:00
SPY_linreg,train,4.6317,48.2812,6.9485,0.0083,0.9341,0.9341,2025-07-02T05:51:26.895741+00:00
SPY_linreg,test,6.3515,51.8213,7.1987,0.0104,-1.5324,0.439,2025-07-02T05:51:26.895741+00:00
SPY_rf,train,4.3564,35.5679,5.9639,0.0078,0.9514,0.9515,2025-07-02T05:51:26.895741+00:00
SPY_rf,test,13.5889,201.0631,14.1797,0.0221,-8.8255,0.1984,2025-07-02T05:51:26.895741+00:00
SPY_xgb,train,3.1367,18.3903,4.2884,0.0056,0.9749,0.9749,2025-07-02T05:51:26.895741+00:00
SPY_xgb,test,13.9323,212.58,14.5801,0.0227,-9.3883,0.0973,2025-07-02T05:51:26.895741+00:00
SPY_lgbm,train,3.8847,30.6881,5.5397,0.007,0.9581,0.9581,2025-07-02T05:51:26.895741+00:00
SPY_lgbm,test,15.0161,243.7329,15.6119,0.0245,-10.9107,0.1082,2025-07-02T05:51:26.895741+00:00
SPY_arima,train,4.4561,52.568,7.2504,0.008,0.9282,0.9283,2025-07-02T05:51:26.895741+00:00
SPY_arima,test,16.2688,308.4135,17.5617,0.0265,-14.0715,-1.1375,2025-07-02T05:51:26.895741+00:00
VNQ_linreg,train,0.7913,1.1391,1.0673,0.0091,0.943,0.943,2025-07-02T05:51:26.895741+00:00
VNQ_linreg,test,0.9869,1.3603,1.1663,0.0111,-1.0228,-1.0195,2025-07-02T05:51:26.895741+00:00
VNQ_rf,train,0.7146,0.8739,0.9348,0.0081,0.9562,0.9562,2025-07-02T05:51:26.895741+00:00
VNQ_rf,test,0.9196,1.3094,1.1443,0.0103,-0.9471,-0.9457,2025-07-02T05:51:26.895741+00:00
VNQ_xgb,train,0.5321,0.5261,0.7254,0.006,0.9737,0.9737,2025-07-02T05:51:26.895741+00:00
VNQ_xgb,test,0.9437,1.2623,1.1235,0.0106,-0.877,-0.8765,2025-07-02T05:51:26.895741+00:00
VNQ_lgbm,train,0.6719,0.7817,0.8841,0.0077,0.9609,0.9609,2025-07-02T05:51:26.895741+00:00
VNQ_lgbm,test,0.9494,1.3828,1.1759,0.0107,-1.0563,-1.0384,2025-07-02T05:51:26.895741+00:00
VNQ_arima,train,0.7284,1.1289,1.0625,0.0083,0.9435,0.9435,2025-07-02T05:51:26.895741+00:00
VNQ_arima,test,0.5171,0.3462,0.5884,0.0058,0.4853,0.4861,2025-07-02T05:51:26.895741+00:00
