model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date
CEMEXCPO.MX_linreg,train,0.1933,0.0709,0.2662,0.0164,0.8577,0.8577,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_linreg,test,0.1634,0.0411,0.2028,0.0123,0.5399,0.6941,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_rf,train,0.1827,0.0631,0.2513,0.0155,0.8732,0.8732,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_rf,test,0.1404,0.0314,0.1773,0.0106,0.6483,0.6619,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_xgb,train,0.1771,0.0597,0.2443,0.015,0.8801,0.8801,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_xgb,test,0.1377,0.0294,0.1716,0.0104,0.6706,0.6839,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_lgbm,train,0.1865,0.0671,0.259,0.0158,0.8653,0.8653,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_lgbm,test,0.1344,0.0295,0.1718,0.0102,0.6696,0.6766,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_lstm,train,0.216,0.0845,0.2907,0.0183,0.8302,0.8303,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_lstm,test,0.163,0.0396,0.199,0.0123,0.5566,0.5802,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_arima,train,0.1991,0.0754,0.2746,0.0169,0.8485,0.8485,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
CEMEXCPO.MX_arima,test,0.1338,0.0295,0.1716,0.0101,0.6704,0.6717,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_linreg,train,0.36,0.2433,0.4932,0.0083,0.8771,0.8771,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_linreg,test,0.4453,0.2989,0.5467,0.0094,0.6502,0.815,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_rf,train,0.3375,0.2181,0.467,0.0078,0.8898,0.8898,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_rf,test,0.2924,0.1467,0.383,0.0062,0.8283,0.8513,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_xgb,train,0.3524,0.2457,0.4957,0.0081,0.8759,0.8759,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_xgb,test,0.2694,0.1323,0.3637,0.0057,0.8452,0.8523,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_lgbm,train,0.3549,0.2482,0.4982,0.0082,0.8746,0.8746,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_lgbm,test,0.2728,0.1356,0.3682,0.0058,0.8413,0.8468,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_lstm,train,0.5132,0.4371,0.6612,0.0119,0.7792,0.7956,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_lstm,test,0.4006,0.2887,0.5373,0.0085,0.6621,0.735,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_arima,train,0.3784,0.2812,0.5303,0.0087,0.8579,0.8579,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
EEM_arima,test,0.2621,0.1278,0.3575,0.0056,0.8504,0.854,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_linreg,train,2.3301,9.7208,3.1178,0.016,0.8411,0.8411,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_linreg,test,4.166,21.1772,4.6019,0.0241,-3.4815,0.1585,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_rf,train,2.1346,8.1768,2.8595,0.0146,0.8664,0.8664,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_rf,test,2.1811,7.0457,2.6544,0.0126,-0.491,-0.0791,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_xgb,train,2.2906,10.0446,3.1693,0.0157,0.8358,0.8358,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_xgb,test,1.9051,5.5554,2.357,0.011,-0.1756,-0.0163,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_lgbm,train,2.325,10.3952,3.2242,0.0159,0.8301,0.8301,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_lgbm,test,1.8735,5.4383,2.332,0.0108,-0.1509,-0.0479,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_lstm,train,2.4195,11.1478,3.3388,0.0166,0.8178,0.8178,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_lstm,test,1.7741,4.8459,2.2013,0.0103,-0.0255,-0.0125,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_arima,train,2.41,11.0379,3.3223,0.0165,0.8196,0.8196,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GFNORTEO.MX_arima,test,1.7038,4.456,2.1109,0.0099,0.057,0.0756,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_linreg,train,2.1009,7.968,2.8228,0.0083,0.9879,0.9879,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_linreg,test,2.8861,13.0681,3.615,0.0095,0.4593,0.5082,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_rf,train,2.0084,7.0384,2.653,0.0079,0.9893,0.9893,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_rf,test,2.797,12.0856,3.4764,0.0092,0.4999,0.5021,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_xgb,train,2.0358,7.5991,2.7566,0.008,0.9884,0.9884,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_xgb,test,2.813,12.066,3.4736,0.0092,0.5007,0.5019,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_lgbm,train,2.084,7.805,2.7938,0.0082,0.9881,0.9881,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_lgbm,test,2.8227,12.174,3.4891,0.0093,0.4963,0.4977,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_lstm,train,2.1571,8.6084,2.934,0.0085,0.9869,0.9869,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_lstm,test,2.8654,12.2759,3.5037,0.0094,0.4921,0.496,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_arima,train,2.168,8.5794,2.9291,0.0085,0.9869,0.9869,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
GLD_arima,test,2.8473,12.2394,3.4985,0.0093,0.4936,0.4946,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_linreg,train,0.2994,0.1514,0.3891,0.0032,0.9532,0.9532,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_linreg,test,0.2885,0.1221,0.3494,0.0031,0.7048,0.7051,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_rf,train,0.2749,0.12,0.3464,0.0029,0.9629,0.9629,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_rf,test,0.3065,0.1295,0.3598,0.0033,0.6868,0.6869,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_xgb,train,0.2947,0.143,0.3781,0.0031,0.9558,0.9558,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_xgb,test,0.3039,0.1281,0.358,0.0032,0.6901,0.6904,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_lgbm,train,0.2954,0.1434,0.3787,0.0031,0.9556,0.9556,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_lgbm,test,0.3056,0.1295,0.3599,0.0032,0.6867,0.6875,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_lstm,train,0.4603,0.3197,0.5654,0.0049,0.9011,0.9498,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_lstm,test,0.4143,0.277,0.5263,0.0044,0.33,0.6869,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_arima,train,0.3102,0.1599,0.3998,0.0033,0.9505,0.9505,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
IEF_arima,test,0.2881,0.1213,0.3483,0.0031,0.7065,0.707,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_linreg,train,5.11,53.9971,7.3483,0.0106,0.9189,0.9189,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_linreg,test,4.1517,25.2395,5.0239,0.0078,0.8374,0.8727,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_rf,train,4.8577,47.4133,6.8857,0.0101,0.9288,0.9288,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_rf,test,3.6093,20.3319,4.5091,0.0068,0.869,0.8822,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_xgb,train,5.0118,54.1126,7.3561,0.0104,0.9187,0.9187,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_xgb,test,3.4636,19.2013,4.3819,0.0065,0.8763,0.8826,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_lgbm,train,5.0003,53.8113,7.3356,0.0104,0.9192,0.9192,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_lgbm,test,3.5107,19.3984,4.4044,0.0066,0.875,0.8828,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_lstm,train,5.1546,57.5057,7.5832,0.0107,0.9136,0.9136,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_lstm,test,3.5064,18.9823,4.3569,0.0066,0.8777,0.8841,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_arima,train,5.1809,57.1233,7.558,0.0108,0.9142,0.9142,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
QQQ_arima,test,3.3464,18.2869,4.2763,0.0063,0.8822,0.8881,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_linreg,train,4.3984,42.4443,6.5149,0.0078,0.9363,0.9363,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_linreg,test,4.5363,30.0961,5.486,0.0076,0.7798,0.864,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_rf,train,4.2142,39.0447,6.2486,0.0075,0.9414,0.9414,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_rf,test,3.5429,19.9053,4.4615,0.0059,0.8544,0.8612,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_xgb,train,4.2082,44.1887,6.6475,0.0075,0.9337,0.9337,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_xgb,test,3.2635,17.6625,4.2027,0.0055,0.8708,0.8756,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_lgbm,train,4.2852,44.7643,6.6906,0.0076,0.9328,0.9328,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_lgbm,test,3.3411,17.9213,4.2334,0.0056,0.8689,0.8748,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_lstm,train,4.5158,49.2873,7.0205,0.0081,0.926,0.9261,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_lstm,test,3.3749,18.4472,4.295,0.0056,0.865,0.8731,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_arima,train,4.4886,48.7367,6.9812,0.008,0.9268,0.9268,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
SPY_arima,test,3.2745,17.5517,4.1895,0.0055,0.8716,0.8757,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_linreg,train,0.7255,0.9647,0.9822,0.0081,0.9538,0.9538,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_linreg,test,0.6287,0.718,0.8473,0.0071,0.2948,0.2949,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_rf,train,0.7088,0.9271,0.9629,0.0079,0.9556,0.9556,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_rf,test,0.5955,0.6924,0.8321,0.0067,0.32,0.3206,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_xgb,train,0.7067,0.9302,0.9645,0.0079,0.9554,0.9554,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_xgb,test,0.5871,0.6988,0.8359,0.0066,0.3136,0.3138,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_lgbm,train,0.727,0.9737,0.9867,0.0081,0.9534,0.9534,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_lgbm,test,0.5898,0.6971,0.8349,0.0066,0.3153,0.3153,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_lstm,train,1.1224,1.8236,1.3504,0.0124,0.9126,0.9506,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_lstm,test,1.0336,1.4626,1.2094,0.0115,-0.4366,0.2924,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_arima,train,0.7488,1.0355,1.0176,0.0083,0.9504,0.9504,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
VNQ_arima,test,0.6004,0.6981,0.8355,0.0067,0.3143,0.3159,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_linreg,train,0.7862,1.0756,1.0371,0.0134,0.9111,0.9111,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_linreg,test,0.817,0.9293,0.964,0.0129,0.7188,0.7217,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_rf,train,0.7292,0.9147,0.9564,0.0124,0.9244,0.9244,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_rf,test,0.8145,0.947,0.9731,0.0129,0.7134,0.7134,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_xgb,train,0.7284,0.9312,0.965,0.0124,0.9231,0.9231,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_xgb,test,0.7935,0.8914,0.9441,0.0125,0.7303,0.7317,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_lgbm,train,0.7841,1.0709,1.0348,0.0133,0.9115,0.9115,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_lgbm,test,0.7717,0.895,0.946,0.0122,0.7292,0.7299,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_lstm,train,0.8852,1.3394,1.1573,0.015,0.8893,0.9007,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
WALMEX.MX_lstm,test,0.8146,1.1132,1.0551,0.013,0.6632,0.7213,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
