model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
CEMEXCPO.MX_lgbm,train,0.1568,0.0469,0.2167,0.0129,0.9641,0.9641,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
CEMEXCPO.MX_lgbm,test,0.1859,0.0554,0.2353,0.0111,0.8276,0.8277,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
CEMEXCPO.MX_arima,train,0.1961,0.0747,0.2734,0.0161,0.9429,0.9429,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
CEMEXCPO.MX_arima,test,0.1789,0.0498,0.2231,0.0107,0.8451,0.8451,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
EEM_linreg,train,0.2808,0.146,0.3821,0.0063,0.9696,0.9696,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_linreg,test,0.3563,0.1825,0.4272,0.007,0.9184,0.9329,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_linreg,train,0.2948,0.1721,0.4148,0.0067,0.9641,0.9641,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_linreg,test,0.4922,0.3294,0.5739,0.0096,0.8527,0.9524,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_rf,train,0.3132,0.1895,0.4353,0.0071,0.9605,0.9605,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_rf,test,0.281,0.129,0.3592,0.0055,0.9423,0.9508,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_rf,train,0.3165,0.1816,0.4261,0.0071,0.9622,0.9622,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_rf,test,0.2763,0.1212,0.3482,0.0054,0.9458,0.9518,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_xgb,train,0.1868,0.0648,0.2545,0.0042,0.9865,0.9865,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_xgb,test,0.2887,0.1402,0.3745,0.0057,0.9373,0.947,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_xgb,train,0.2604,0.1213,0.3482,0.0059,0.9747,0.9747,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_xgb,test,0.2713,0.1364,0.3693,0.0053,0.939,0.9445,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_lgbm,train,0.2255,0.0995,0.3154,0.0051,0.9793,0.9793,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_lgbm,test,0.3067,0.1541,0.3925,0.006,0.9311,0.9419,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_lgbm,train,0.2887,0.1689,0.4109,0.0065,0.9648,0.9648,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_lgbm,test,0.2819,0.137,0.3701,0.0055,0.9387,0.9495,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
EEM_arima,train,0.3601,0.2663,0.5161,0.0082,0.9445,0.9445,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
EEM_arima,test,0.2855,0.1237,0.3518,0.0056,0.9446,0.9485,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GFNORTEO.MX_linreg,train,1.8129,5.3107,2.3045,0.0121,0.9679,0.9679,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_linreg,test,4.4308,29.8431,5.4629,0.0251,0.3341,0.7394,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_linreg,train,1.9229,6.0908,2.468,0.0128,0.9632,0.9632,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_linreg,test,2.5096,10.6499,3.2634,0.0143,0.7624,0.8721,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_rf,train,1.9686,6.1301,2.4759,0.0131,0.963,0.963,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_rf,test,2.0926,6.4363,2.537,0.012,0.8564,0.8661,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_rf,train,1.9784,6.3019,2.5104,0.0132,0.9619,0.962,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_rf,test,1.9739,6.017,2.453,0.0113,0.8657,0.8762,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_xgb,train,0.9709,1.4941,1.2223,0.0065,0.991,0.991,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_xgb,test,2.2808,8.5454,2.9233,0.013,0.8093,0.8524,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_xgb,train,1.6451,4.355,2.0869,0.011,0.9737,0.9737,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_xgb,test,2.0128,6.318,2.5136,0.0115,0.859,0.8728,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_lgbm,train,1.4765,3.6907,1.9211,0.0098,0.9777,0.9777,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_lgbm,test,2.1769,8.285,2.8784,0.0124,0.8151,0.8593,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_lgbm,train,1.8454,5.9381,2.4368,0.0123,0.9641,0.9641,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_lgbm,test,1.9931,7.1507,2.6741,0.0113,0.8404,0.8631,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
GFNORTEO.MX_arima,train,2.2357,8.6895,2.9478,0.0149,0.9475,0.9475,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GFNORTEO.MX_arima,test,2.1202,6.5173,2.5529,0.0121,0.8546,0.8574,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
GLD_linreg,train,1.9452,5.8274,2.414,0.0072,0.9928,0.9928,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_linreg,test,3.8277,23.3547,4.8327,0.0116,0.9013,0.9086,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_linreg,train,2.0589,6.7,2.5884,0.0076,0.9917,0.9917,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
GLD_linreg,test,2.8619,12.9657,3.6008,0.0087,0.9452,0.9455,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
GLD_rf,train,1.9532,6.3369,2.5173,0.0072,0.9922,0.9922,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_rf,test,2.787,12.7022,3.564,0.0084,0.9463,0.9667,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_rf,train,1.9854,6.2977,2.5095,0.0073,0.9922,0.9922,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
GLD_rf,test,2.3756,9.6068,3.0995,0.0072,0.9594,0.9705,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
GLD_xgb,train,0.8634,1.2006,1.0957,0.0032,0.9985,0.9985,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_xgb,test,2.7715,12.6257,3.5533,0.0084,0.9466,0.9651,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_xgb,train,1.7365,5.0028,2.2367,0.0064,0.9938,0.9938,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
GLD_xgb,test,2.2044,8.0286,2.8335,0.0067,0.9661,0.9678,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
GLD_lgbm,train,1.4264,3.3519,1.8308,0.0053,0.9959,0.9959,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_lgbm,test,3.3178,16.2908,4.0362,0.0101,0.9311,0.9637,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_lgbm,train,1.8892,6.33,2.516,0.0069,0.9922,0.9922,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
GLD_lgbm,test,2.5967,12.116,3.4808,0.0079,0.9488,0.9641,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
