model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date
SPY_lstm,train,4.4469,47.6804,6.9051,0.0079,0.9305,0.9307,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_lstm,test,3.8247,27.3939,5.2339,0.0064,0.8387,0.8598,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_arima,train,4.4012,47.0974,6.8628,0.0079,0.9313,0.9313,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_arima,test,3.8621,29.9712,5.4746,0.0065,0.8236,0.837,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_linreg,train,0.73,0.9742,0.987,0.0081,0.9544,0.9544,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_linreg,test,0.6008,0.6808,0.8251,0.0067,0.3255,0.3269,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_rf,train,0.705,0.9206,0.9595,0.0078,0.9569,0.9569,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_rf,test,0.5957,0.677,0.8228,0.0067,0.3292,0.3297,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_xgb,train,0.7135,0.9459,0.9726,0.0079,0.9557,0.9557,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_xgb,test,0.5815,0.6693,0.8181,0.0065,0.3369,0.3371,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_lgbm,train,0.7213,0.9692,0.9845,0.008,0.9547,0.9547,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_lgbm,test,0.5973,0.6898,0.8305,0.0067,0.3166,0.3178,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_lstm,train,0.7446,1.0264,1.0131,0.0083,0.952,0.952,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_lstm,test,0.5986,0.6839,0.827,0.0067,0.3223,0.3242,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_arima,train,0.7432,1.0298,1.0148,0.0083,0.9518,0.9518,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
VNQ_arima,test,0.6018,0.7013,0.8375,0.0067,0.3051,0.3052,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
WALMEX.MX_linreg,train,0.7836,1.0676,1.0332,0.0133,0.917,0.917,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
