model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date
CEMEXCPO.MX_rf,test,0.1395,0.032,0.1788,0.0105,0.679,0.705,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_xgb,train,0.1803,0.0608,0.2466,0.0152,0.8806,0.8806,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_xgb,test,0.1359,0.0312,0.1767,0.0102,0.6866,0.7013,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_lgbm,train,0.1883,0.0674,0.2596,0.0159,0.8676,0.8676,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_lgbm,test,0.1357,0.0309,0.1758,0.0102,0.6898,0.6992,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_lstm,train,0.4046,0.2217,0.4708,0.034,0.5645,0.8519,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_lstm,test,0.3936,0.1823,0.427,0.0296,-0.8308,0.7016,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_arima,train,0.1992,0.0754,0.2745,0.0169,0.852,0.852,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_arima,test,0.1324,0.0295,0.1719,0.01,0.7035,0.7041,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_linreg,train,0.3576,0.2416,0.4915,0.0083,0.8811,0.8811,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_linreg,test,0.4663,0.3213,0.5668,0.0099,0.6434,0.8144,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_rf,train,0.3519,0.2348,0.4846,0.0081,0.8844,0.8844,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_rf,test,0.2894,0.1428,0.3779,0.0061,0.8415,0.8578,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_xgb,train,0.2974,0.1809,0.4253,0.0069,0.911,0.911,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_xgb,test,0.3359,0.1781,0.422,0.0071,0.8023,0.8386,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_lgbm,train,0.3547,0.2484,0.4984,0.0082,0.8777,0.8777,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_lgbm,test,0.2735,0.1371,0.3703,0.0058,0.8478,0.8536,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_lstm,train,0.4048,0.3047,0.552,0.0093,0.8501,0.8565,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_lstm,test,0.3162,0.1563,0.3953,0.0067,0.8265,0.8535,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_arima,train,0.3778,0.2805,0.5296,0.0087,0.862,0.862,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
EEM_arima,test,0.2563,0.125,0.3536,0.0054,0.8612,0.8633,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_linreg,train,2.3526,9.8569,3.1396,0.0161,0.8464,0.8464,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_linreg,test,3.7533,17.7789,4.2165,0.0217,-2.2501,0.1361,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_rf,train,2.2792,9.672,3.11,0.0156,0.8493,0.8493,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_rf,test,1.9168,5.677,2.3826,0.0111,-0.0378,0.0494,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_xgb,train,2.351,10.4742,3.2364,0.0161,0.8368,0.8368,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_xgb,test,1.8369,5.1963,2.2795,0.0107,0.0501,0.0584,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_lgbm,train,2.3203,10.2497,3.2015,0.0159,0.8403,0.8403,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_lgbm,test,1.8205,5.16,2.2716,0.0106,0.0567,0.0592,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_lstm,train,2.4425,11.3002,3.3616,0.0167,0.8239,0.824,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_lstm,test,1.8117,5.2748,2.2967,0.0105,0.0357,0.0446,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_arima,train,2.4255,11.1175,3.3343,0.0166,0.8268,0.8268,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GFNORTEO.MX_arima,test,1.7406,4.8152,2.1944,0.0101,0.1197,0.121,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_linreg,train,2.1278,7.9367,2.8172,0.0084,0.9881,0.9881,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_linreg,test,2.7299,11.15,3.3392,0.0089,0.3894,0.4122,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_rf,train,2.0273,7.354,2.7118,0.008,0.989,0.989,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_rf,test,2.699,10.7945,3.2855,0.0088,0.4089,0.4183,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_xgb,train,2.0289,7.5201,2.7423,0.008,0.9888,0.9888,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_xgb,test,2.6794,10.7108,3.2727,0.0088,0.4134,0.4159,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_lgbm,train,2.0859,7.9152,2.8134,0.0082,0.9882,0.9882,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_lgbm,test,2.6985,10.8309,3.291,0.0088,0.4069,0.4098,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_lstm,train,2.1682,8.6499,2.9411,0.0085,0.9871,0.9871,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_lstm,test,2.6953,11.0659,3.3265,0.0088,0.394,0.3943,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_arima,train,2.1663,8.6491,2.9409,0.0085,0.9871,0.9871,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
GLD_arima,test,2.6954,11.0619,3.3259,0.0088,0.3942,0.3943,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_linreg,train,0.3047,0.1536,0.3919,0.0032,0.9523,0.9523,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_linreg,test,0.289,0.1239,0.352,0.0031,0.6758,0.681,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_rf,train,0.2939,0.141,0.3755,0.0031,0.9562,0.9562,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_rf,test,0.3038,0.1305,0.3613,0.0032,0.6585,0.6623,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_xgb,train,0.2717,0.1217,0.3489,0.0029,0.9622,0.9622,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_xgb,test,0.3028,0.1329,0.3646,0.0032,0.6521,0.6533,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_lgbm,train,0.2926,0.1386,0.3723,0.0031,0.957,0.957,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_lgbm,test,0.3113,0.1361,0.369,0.0033,0.6437,0.6486,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_lstm,train,0.3258,0.1756,0.4191,0.0034,0.9455,0.9497,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_lstm,test,0.3137,0.1377,0.3711,0.0033,0.6397,0.6565,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_arima,train,0.3099,0.1597,0.3996,0.0033,0.9504,0.9504,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
IEF_arima,test,0.2917,0.1256,0.3544,0.0031,0.6713,0.6757,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_linreg,train,5.1558,54.5511,7.3859,0.0107,0.918,0.918,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_linreg,test,4.0675,25.559,5.0556,0.0076,0.8541,0.8988,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_rf,train,4.9005,50.5491,7.1098,0.0102,0.924,0.924,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_rf,test,3.4888,19.6418,4.4319,0.0066,0.8879,0.8941,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_xgb,train,5.0244,54.0074,7.349,0.0104,0.9188,0.9188,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_xgb,test,3.3503,18.1975,4.2658,0.0063,0.8961,0.8996,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_lgbm,train,4.925,51.1989,7.1553,0.0102,0.923,0.923,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_lgbm,test,3.4594,19.1097,4.3715,0.0065,0.8909,0.8959,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_lstm,train,5.217,57.662,7.5935,0.0108,0.9133,0.9134,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_lstm,test,3.437,18.3714,4.2862,0.0065,0.8951,0.9023,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_arima,train,5.1963,57.2669,7.5675,0.0108,0.9139,0.9139,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
QQQ_arima,test,3.2264,17.3293,4.1628,0.0061,0.9011,0.9043,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_linreg,train,4.4236,42.1859,6.4951,0.0079,0.9361,0.9361,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_linreg,test,3.8536,22.5877,4.7527,0.0064,0.8573,0.8581,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_rf,train,4.2371,42.4739,6.5172,0.0076,0.9357,0.9357,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_rf,test,3.3574,17.8642,4.2266,0.0056,0.8871,0.8917,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_xgb,train,4.3484,46.18,6.7956,0.0078,0.93,0.93,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_xgb,test,3.3145,17.8766,4.2281,0.0055,0.8871,0.8909,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_lgbm,train,4.2597,44.665,6.6832,0.0076,0.9323,0.9323,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_lgbm,test,3.3571,17.7846,4.2172,0.0056,0.8876,0.8933,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_lstm,train,4.6062,49.3776,7.0269,0.0082,0.9252,0.926,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_lstm,test,3.6482,20.3285,4.5087,0.0061,0.8716,0.8905,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_arima,train,4.4798,48.6405,6.9743,0.008,0.9263,0.9263,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
SPY_arima,test,3.3309,17.9289,4.2342,0.0056,0.8867,0.8907,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_linreg,train,0.7335,0.9714,0.9856,0.0081,0.9529,0.9529,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_linreg,test,0.5984,0.6667,0.8165,0.0067,0.2663,0.2688,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_rf,train,0.7092,0.9185,0.9584,0.0079,0.9555,0.9555,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_rf,test,0.5701,0.6555,0.8097,0.0064,0.2786,0.2922,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_xgb,train,0.669,0.8156,0.9031,0.0074,0.9605,0.9605,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_xgb,test,0.571,0.6411,0.8007,0.0064,0.2945,0.3043,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_lgbm,train,0.6884,0.876,0.9359,0.0077,0.9576,0.9576,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_lgbm,test,0.5761,0.688,0.8294,0.0065,0.2429,0.2486,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_lstm,train,0.7737,1.075,1.0368,0.0086,0.9479,0.9487,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_lstm,test,0.5918,0.6801,0.8247,0.0066,0.2515,0.2736,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_arima,train,0.7509,1.0371,1.0184,0.0083,0.9498,0.9498,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
VNQ_arima,test,0.562,0.6467,0.8042,0.0063,0.2883,0.2895,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_linreg,train,0.7901,1.0735,1.0361,0.0134,0.9109,0.9109,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_linreg,test,0.8399,0.9962,0.9981,0.0134,0.7672,0.7672,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_rf,train,0.7262,0.9078,0.9528,0.0123,0.9247,0.9247,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_rf,test,0.7488,0.8906,0.9437,0.0119,0.7918,0.798,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_xgb,train,0.7651,1.0162,1.0081,0.013,0.9157,0.9157,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_xgb,test,0.7405,0.872,0.9338,0.0118,0.7962,0.8012,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_lgbm,train,0.7875,1.0634,1.0312,0.0134,0.9117,0.9117,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_lgbm,test,0.777,0.9142,0.9561,0.0124,0.7863,0.7899,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_lstm,train,0.853,1.2616,1.1232,0.0145,0.8953,0.9007,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
WALMEX.MX_lstm,test,0.742,0.9683,0.984,0.0118,0.7737,0.8105,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
