model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date
GLD_arima,train,2.407,15.8832,3.9854,0.0094,0.9823,0.9823,2025-06-28T06:36:32.814973+00:00
GLD_arima,test,5.8736,44.96,6.7052,0.0193,-3.5496,-0.0585,2025-06-28T06:36:32.814973+00:00
IEF_linreg,train,0.238,0.0933,0.3055,0.0026,0.972,0.972,2025-06-28T06:36:32.814973+00:00
IEF_linreg,test,0.1326,0.0317,0.178,0.0014,0.3957,0.475,2025-06-28T06:36:32.814973+00:00
IEF_rf,train,0.2872,0.1299,0.3604,0.0031,0.961,0.961,2025-06-28T06:36:32.814973+00:00
IEF_rf,test,0.281,0.1163,0.341,0.003,-1.2175,-0.4284,2025-06-28T06:36:32.814973+00:00
IEF_xgb,train,0.0833,0.0107,0.1034,0.0009,0.9968,0.9968,2025-06-28T06:36:32.814973+00:00
IEF_xgb,test,0.1743,0.0469,0.2167,0.0018,0.1044,0.2705,2025-06-28T06:36:32.814973+00:00
IEF_lgbm,train,0.1751,0.0464,0.2154,0.0019,0.9861,0.9861,2025-06-28T06:36:32.814973+00:00
IEF_lgbm,test,0.2381,0.0719,0.2682,0.0025,-0.3722,-0.3306,2025-06-28T06:36:32.814973+00:00
IEF_arima,train,0.3158,0.1862,0.4315,0.0034,0.9441,0.9441,2025-06-28T06:36:32.814973+00:00
IEF_arima,test,0.9445,1.0082,1.0041,0.0099,-18.2309,-1.2157,2025-06-28T06:36:32.814973+00:00
QQQ_linreg,train,4.5723,36.9147,6.0757,0.0095,0.9521,0.9521,2025-06-28T06:36:32.814973+00:00
QQQ_linreg,test,2.8145,9.593,3.0973,0.0052,0.7106,0.8025,2025-06-28T06:36:32.814973+00:00
QQQ_rf,train,4.6954,39.0304,6.2474,0.0097,0.9493,0.9493,2025-06-28T06:36:32.814973+00:00
QQQ_rf,test,12.4432,185.7479,13.6289,0.0229,-4.6039,0.0673,2025-06-28T06:36:32.814973+00:00
QQQ_xgb,train,0.2748,0.132,0.3633,0.0006,0.9998,0.9998,2025-06-28T06:36:32.814973+00:00
QQQ_xgb,test,9.5657,111.3812,10.5537,0.0176,-2.3603,0.4003,2025-06-28T06:36:32.814973+00:00
QQQ_lgbm,train,3.3672,19.8974,4.4607,0.007,0.9742,0.9742,2025-06-28T06:36:32.814973+00:00
QQQ_lgbm,test,13.2256,199.6915,14.1312,0.0243,-5.0246,0.2525,2025-06-28T06:36:32.814973+00:00
QQQ_arima,train,5.0428,59.9274,7.7413,0.0105,0.9222,0.9222,2025-06-28T06:36:32.814973+00:00
QQQ_arima,test,12.6488,216.6409,14.7187,0.0232,-5.5359,-0.7358,2025-06-28T06:36:32.814973+00:00
SPY_linreg,train,3.8501,28.4719,5.3359,0.0069,0.9621,0.9621,2025-06-28T06:36:32.814973+00:00
SPY_linreg,test,2.7911,8.5246,2.9197,0.0046,0.663,0.682,2025-06-28T06:36:32.814973+00:00
SPY_rf,train,1.695,6.6463,2.578,0.0031,0.9912,0.9912,2025-06-28T06:36:32.814973+00:00
SPY_rf,test,11.9123,148.8755,12.2015,0.0196,-4.8857,0.7243,2025-06-28T06:36:32.814973+00:00
SPY_xgb,train,1.1497,2.1296,1.4593,0.002,0.9972,0.9972,2025-06-28T06:36:32.814973+00:00
SPY_xgb,test,11.9482,173.0915,13.1564,0.0196,-5.8431,-0.1992,2025-06-28T06:36:32.814973+00:00
SPY_lgbm,train,2.934,17.2316,4.1511,0.0053,0.9771,0.9771,2025-06-28T06:36:32.814973+00:00
SPY_lgbm,test,10.9733,137.1034,11.7091,0.018,-4.4203,0.3402,2025-06-28T06:36:32.814973+00:00
SPY_arima,train,4.421,52.6133,7.2535,0.0079,0.9301,0.9301,2025-06-28T06:36:32.814973+00:00
SPY_arima,test,11.4872,179.3739,13.3931,0.0188,-6.0915,-1.1635,2025-06-28T06:36:32.814973+00:00
VNQ_linreg,train,0.5918,0.6584,0.8114,0.0068,0.9682,0.9682,2025-06-28T06:36:32.814973+00:00
VNQ_linreg,test,0.818,0.9587,0.9791,0.0091,0.0512,0.1541,2025-06-28T06:36:32.814973+00:00
VNQ_rf,train,0.6793,0.7863,0.8867,0.0077,0.962,0.962,2025-06-28T06:36:32.814973+00:00
VNQ_rf,test,1.019,1.1856,1.0888,0.0114,-0.1733,-0.1079,2025-06-28T06:36:32.814973+00:00
VNQ_xgb,train,0.0682,0.0085,0.0922,0.0008,0.9996,0.9996,2025-06-28T06:36:32.814973+00:00
VNQ_xgb,test,0.9409,0.9484,0.9739,0.0105,0.0614,0.1698,2025-06-28T06:36:32.814973+00:00
VNQ_lgbm,train,0.4713,0.3956,0.629,0.0054,0.9809,0.9809,2025-06-28T06:36:32.814973+00:00
VNQ_lgbm,test,0.8118,0.9748,0.9873,0.0091,0.0353,0.1026,2025-06-28T06:36:32.814973+00:00
VNQ_arima,train,0.7232,1.1318,1.0638,0.0083,0.9453,0.9454,2025-06-28T06:36:32.814973+00:00
VNQ_arima,test,0.7315,0.7352,0.8574,0.0082,0.2724,0.2874,2025-06-28T06:36:32.814973+00:00
