model,feature,importance,run_date
CEMEXCPO.MX_xgb,ema_20,0.10727789252996445,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,cos_month,0.05469980835914612,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,std_50,0.08841341733932495,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,kurt_5,0.05905021354556084,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,q75_5,0.10351687669754028,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,Volume,0.0506308376789093,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,skew_20,0.05263933539390564,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,stoch,0.0700204148888588,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,stl_resid_60,0.053543370217084885,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,macd_diff,0.05932469293475151,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,stl_resid_30,0.051768433302640915,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,skew_10,0.05674617365002632,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,kurt_20,2.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,bb_width,1.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,trend_line_60,26.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,ema_20,12.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,cos_month,10.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,std_50,32.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,kurt_5,6.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,q75_5,22.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,Volume,8.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,skew_20,4.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,stoch,14.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,stl_resid_60,9.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,macd_diff,18.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,stl_resid_30,17.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_lgbm,skew_10,6.0,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_arima,const,0.0025509404948254703,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_arima,ar.L1,0.02242764624076393,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_arima,sigma2,0.07535013589758577,2025-07-11T06:01:44.550678+00:00
EEM_linreg,kurt_20,0.01566304406051829,2025-07-11T06:01:44.550678+00:00
EEM_linreg,kurt_10,-0.04586128463111069,2025-07-11T06:01:44.550678+00:00
EEM_linreg,kurt_5,-0.04061678784315257,2025-07-11T06:01:44.550678+00:00
EEM_linreg,median_20,-0.07387520714029157,2025-07-11T06:01:44.550678+00:00
EEM_linreg,std_10,0.12202493212771834,2025-07-11T06:01:44.550678+00:00
EEM_linreg,Low,-0.11250987087282141,2025-07-11T06:01:44.550678+00:00
EEM_linreg,sin_month,-0.021376961671983115,2025-07-11T06:01:44.550678+00:00
EEM_linreg,std_50,0.21122518386397418,2025-07-11T06:01:44.550678+00:00
EEM_linreg,sin_year,-0.04597493164215761,2025-07-11T06:01:44.550678+00:00
EEM_linreg,norm_band_50,0.029806865801904562,2025-07-11T06:01:44.550678+00:00
EEM_linreg,std_ratio_5_20,-0.08510198286951161,2025-07-11T06:01:44.550678+00:00
EEM_linreg,max_5,0.039179251014801665,2025-07-11T06:01:44.550678+00:00
EEM_linreg,dom,-0.004073064536546396,2025-07-11T06:01:44.550678+00:00
EEM_linreg,volatility_5,-0.006794992670534605,2025-07-11T06:01:44.550678+00:00
EEM_linreg,skew_5,0.05386761179965852,2025-07-11T06:01:44.550678+00:00
EEM_linreg,macd_diff,0.03289468641996987,2025-07-11T06:01:44.550678+00:00
EEM_linreg,skew_20,0.013887976651051437,2025-07-11T06:01:44.550678+00:00
EEM_rf,kurt_20,0.044522974865992514,2025-07-11T06:01:44.550678+00:00
EEM_rf,kurt_10,0.024599345392433206,2025-07-11T06:01:44.550678+00:00
EEM_rf,kurt_5,0.12593656520254673,2025-07-11T06:01:44.550678+00:00
EEM_rf,median_20,0.06962351295890691,2025-07-11T06:01:44.550678+00:00
EEM_rf,std_10,0.06387091054453575,2025-07-11T06:01:44.550678+00:00
EEM_rf,Low,0.07638913311852706,2025-07-11T06:01:44.550678+00:00
EEM_rf,sin_month,0.01835841505980314,2025-07-11T06:01:44.550678+00:00
EEM_rf,std_50,0.033667496540223996,2025-07-11T06:01:44.550678+00:00
