ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS,residual
COST,_NaiveModel,997.8400268554688,1005.8099975585938,2026-04-21 00:00:00,0.0,7.969970703125,0.0,0.0079872228900669,False,2026-04-21,False,False,7.97,63.5204,7.97,0.0079,,1.0,-7.969970703125
CRM,_NaiveModel,186.2700042724609,187.1100006103516,2026-04-21 00:00:00,0.0,0.8399963378906818,0.0,0.0045095630999288,False,2026-04-21,False,False,0.84,0.7056,0.84,0.0045,,1.0,-0.8399963378906818
GOOGL,_NaiveModel,337.4200134277344,332.2900085449219,2026-04-21 00:00:00,0.0,-5.1300048828125,0.0,-0.0152036176831911,False,2026-04-21,False,False,5.13,26.317,5.13,0.0154,,1.0,5.1300048828125
JNJ,_NaiveModel,230.69000244140625,226.16000366210932,2026-04-21 00:00:00,0.0,-4.529998779296903,0.0,-0.0196367364487218,False,2026-04-21,False,False,4.53,20.5209,4.53,0.02,,1.0,4.529998779296932
JPM,_NaiveModel,316.989990234375,313.0,2026-04-21 00:00:00,0.0,-3.989990234375,0.0,-0.0125871174399699,False,2026-04-21,False,False,3.99,15.92,3.99,0.0127,,1.0,3.989990234375
LLY,_NaiveModel,919.9000244140624,903.02001953125,2026-04-21 00:00:00,0.0,-16.880004882812386,0.0,-0.0183498254536564,False,2026-04-21,False,False,16.88,284.9346,16.88,0.0187,,1.0,16.880004882812386
LMT,_NaiveModel,581.280029296875,571.9500122070312,2026-04-21 00:00:00,0.0,-9.33001708984375,0.0,-0.0160508130670332,False,2026-04-21,False,False,9.33,87.0492,9.33,0.0163,,1.0,9.33001708984375
MA,_NaiveModel,516.6500244140625,511.3500061035156,2026-04-21 00:00:00,0.0,-5.300018310546875,0.0,-0.0102584303882646,False,2026-04-21,False,False,5.3,28.0902,5.3,0.0104,,1.0,5.300018310546875
MCD,_NaiveModel,306.94000244140625,301.8399963378906,2026-04-21 00:00:00,0.0,-5.100006103515625,0.0,-0.0166156449565064,False,2026-04-21,False,False,5.1,26.0101,5.1,0.0169,,1.0,5.100006103515625
META,_NaiveModel,670.9099731445312,668.8400268554688,2026-04-21 00:00:00,0.0,-2.0699462890625,0.0,-0.0030852817396061,False,2026-04-21,False,False,2.0699,4.2847,2.0699,0.0031,,1.0,2.0699462890625
