date,ticker,best_model,strategy_score,action,ret_1d,ret_5d,ret_20d,result_5d,pred_ARIMAModel,pred_LGBMRegressor,pred_LSTM,pred_RandomForestRegressor,pred_Ridge,pred_XGBRegressor,pred__NaiveModel
2026-05-05,BRK-B,_NaiveModel,0.0,HOLD,-0.64%,1.58%,3.81%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,CAT,_NaiveModel,0.0,HOLD,3.41%,2.59%,0.58%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,COST,_NaiveModel,0.0,HOLD,0.36%,-0.39%,1.53%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-05,CRM,_NaiveModel,0.0,HOLD,0.81%,-1.97%,-2.92%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,GOOGL,_NaiveModel,0.0,HOLD,1.35%,4.58%,-0.07%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,JNJ,_NaiveModel,0.0,HOLD,0.60%,-1.28%,4.52%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,JPM,_NaiveModel,0.0,HOLD,0.57%,-1.80%,-0.41%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,LLY,_NaiveModel,0.0,HOLD,2.16%,-2.01%,10.03%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,LMT,_NaiveModel,0.0,HOLD,-1.78%,-2.25%,2.91%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,MA,_NaiveModel,0.0,HOLD,-1.52%,-1.83%,-1.23%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,MCD,_NaiveModel,0.0,HOLD,0.38%,-2.94%,-0.64%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,META,_NaiveModel,0.0,HOLD,-0.89%,-0.13%,-0.02%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-05,MRK,_NaiveModel,0.0,HOLD,0.04%,-1.53%,8.22%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,MSFT,_NaiveModel,0.0,HOLD,-0.54%,0.36%,1.20%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-05,NEE,_NaiveModel,0.0,HOLD,0.81%,-2.52%,-7.29%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,NVDA,_NaiveModel,0.0,HOLD,-1.00%,8.42%,8.49%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,ORCL,_NaiveModel,0.0,HOLD,2.81%,8.69%,6.54%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,PG,_NaiveModel,0.0,HOLD,1.03%,2.09%,0.71%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,PLTR,_NaiveModel,0.0,HOLD,-6.93%,-5.64%,-6.27%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,TSLA,_NaiveModel,0.0,HOLD,-0.80%,9.13%,8.53%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,TSM,_NaiveModel,0.0,HOLD,-1.79%,2.51%,0.72%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,UNH,_NaiveModel,0.0,HOLD,-1.86%,2.49%,4.78%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,V,_NaiveModel,0.0,HOLD,-1.47%,-2.47%,0.62%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-05,WMT,_NaiveModel,0.0,HOLD,0.35%,0.08%,-7.72%,Acierto,-,-,-,-,-,-,NEUTRO
