ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
LLY,_NaiveModel,risk_regime,risk_on,27.325,1450.8176,38.0896,0.0292,-0.507,0.2686,0.8333,5,5,False
LMT,_NaiveModel,risk_regime,risk_off,8.8523,134.68,11.6052,0.016,0.9174,0.9655,0.5,5,5,False
LMT,_NaiveModel,risk_regime,risk_on,6.77,47.7648,6.9112,0.0131,-5892.3721,-237.3831,0.8333,5,5,False
MA,_NaiveModel,risk_regime,risk_off,7.1586,95.2943,9.7619,0.0142,-0.603,0.259,0.8333,5,5,False
MA,_NaiveModel,risk_regime,risk_on,5.7838,60.099,7.7524,0.0112,0.0087,0.5605,0.8333,5,5,False
MCD,_NaiveModel,risk_regime,risk_off,4.0778,22.6894,4.7633,0.0139,0.6156,0.8973,0.6667,5,5,False
MCD,_NaiveModel,risk_regime,risk_on,2.715,8.7026,2.95,0.009,0.8221,0.9728,0.5,5,5,False
META,_NaiveModel,risk_regime,risk_off,15.0214,556.9681,23.6002,0.0237,0.1936,0.5203,0.8333,5,5,False
META,_NaiveModel,risk_regime,risk_on,10.1287,166.3982,12.8995,0.0151,0.6724,0.8744,0.6667,5,5,False
MRK,_NaiveModel,risk_regime,risk_off,1.9511,5.3429,2.3115,0.0172,0.6054,0.8865,0.6667,5,4,True
MRK,_NaiveModel,risk_regime,risk_on,1.7533,4.4605,2.112,0.0153,0.3402,0.7949,0.6667,5,4,True
MSFT,_NaiveModel,risk_regime,risk_off,8.836,123.7853,11.1259,0.0214,-3.1502,-0.5326,0.8333,5,5,False
MSFT,_NaiveModel,risk_regime,risk_on,7.343,74.9006,8.6545,0.0176,0.3502,0.818,0.6667,5,5,False
NEE,_NaiveModel,risk_regime,risk_off,1.0222,1.4323,1.1968,0.0109,0.7502,0.9324,0.5,5,4,True
NEE,_NaiveModel,risk_regime,risk_on,2.0683,9.3367,3.0556,0.0214,-0.4681,0.2046,0.8333,5,4,True
NVDA,_NaiveModel,risk_regime,risk_off,3.3886,19.337,4.3974,0.0167,0.375,0.7461,0.6667,5,5,False
NVDA,_NaiveModel,risk_regime,risk_on,4.1112,27.4426,5.2386,0.02,0.2567,0.7145,0.6667,5,5,False
ORCL,_NaiveModel,risk_regime,risk_off,4.1986,29.32,5.4148,0.0245,0.0358,0.6155,0.8333,5,4,True
ORCL,_NaiveModel,risk_regime,risk_on,6.7575,51.6842,7.1892,0.0386,-0.009,0.8825,0.6667,5,4,True
PG,_NaiveModel,risk_regime,risk_off,2.0717,5.6375,2.3743,0.0144,-2.2168,0.2321,0.8333,5,4,True
PG,_NaiveModel,risk_regime,risk_on,1.3633,3.429,1.8517,0.0093,0.0612,0.5701,0.8333,5,4,True
PLTR,_NaiveModel,risk_regime,risk_off,4.17,34.0857,5.8383,0.0296,-3.2946,-1.1037,0.8333,5,4,True
PLTR,_NaiveModel,risk_regime,risk_on,2.7582,12.9566,3.5995,0.0191,0.2362,0.6847,0.8333,5,4,True
TSLA,_NaiveModel,risk_regime,risk_off,6.1517,53.2931,7.3002,0.0161,0.1261,0.7467,0.6667,5,5,False
TSLA,_NaiveModel,risk_regime,risk_on,8.5556,136.1036,11.6663,0.0221,-0.2914,0.4031,0.8333,5,5,False
TSM,_NaiveModel,risk_regime,risk_off,7.644,72.3545,8.5061,0.0203,0.3624,0.8773,0.6667,5,5,False
TSM,_NaiveModel,risk_regime,risk_on,7.026,95.9519,9.7955,0.018,0.3979,0.7076,0.6667,5,5,False
UNH,_NaiveModel,risk_regime,risk_off,0.696,0.8705,0.933,0.002,0.9984,0.9993,0.0,5,4,True
UNH,_NaiveModel,risk_regime,risk_on,6.123,80.5451,8.9747,0.0176,0.808,0.8974,0.5,5,4,True
V,_NaiveModel,risk_regime,risk_off,2.3325,7.7427,2.7826,0.0073,0.8908,0.9675,0.5,5,5,False
V,_NaiveModel,risk_regime,risk_on,5.16,97.6713,9.8829,0.0157,-0.4152,-0.0294,0.8333,5,5,False
WMT,_NaiveModel,risk_regime,risk_off,1.266,2.3374,1.5289,0.0098,0.5999,0.8743,0.6667,5,4,True
